Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 64. Process: [2160/30000 (7.20%)]	Loss: 0.156893
Inpaint local size 64, image size 128. Process: [2160/30000 (1.80%)]	Loss: 0.177545
Inpaint local size 64, image size 64. Process: [2208/30000 (7.36%)]	Loss: 0.155912
Inpaint local size 64, image size 128. Process: [2208/30000 (1.84%)]	Loss: 0.195301
Inpaint local size 64, image size 64. Process: [2256/30000 (7.52%)]	Loss: 0.167934
Inpaint local size 64, image size 128. Process: [2256/30000 (1.88%)]	Loss: 0.191729
Inpaint local size 64, image size 64. Process: [2304/30000 (7.68%)]	Loss: 0.154786
Inpaint local size 64, image size 128. Process: [2304/30000 (1.92%)]	Loss: 0.153212
Inpaint local size 64, image size 64. Process: [2352/30000 (7.84%)]	Loss: 0.163618
Inpaint local size 64, image size 128. Process: [2352/30000 (1.96%)]	Loss: 0.166695
Inpaint local size 64, image size 64. Process: [2400/30000 (8.00%)]	Loss: 0.147129
Inpaint local size 64, image size 128. Process: [2400/30000 (2.00%)]	Loss: 0.159456
Inpaint local size 64, image size 64. Process: [2448/30000 (8.16%)]	Loss: 0.154811
Inpaint local size 64, image size 128. Process: [2448/30000 (2.04%)]	Loss: 0.150490
Inpaint local size 64, image size 64. Process: [2496/30000 (8.32%)]	Loss: 0.147360
Inpaint local size 64, image size 128. Process: [2496/30000 (2.08%)]	Loss: 0.171369
Inpaint local size 64, image size 64. Process: [2544/30000 (8.48%)]	Loss: 0.154050
Inpaint local size 64, image size 128. Process: [2544/30000 (2.12%)]	Loss: 0.166044
Inpaint local size 64, image size 64. Process: [2592/30000 (8.64%)]	Loss: 0.154904
Inpaint local size 64, image size 128. Process: [2592/30000 (2.16%)]	Loss: 0.161235
Inpaint local size 64, image size 64. Process: [2640/30000 (8.80%)]	Loss: 0.155891
Inpaint local size 64, image size 128. Process: [2640/30000 (2.20%)]	Loss: 0.154429
Inpaint local size 64, image size 64. Process: [2688/30000 (8.96%)]	Loss: 0.153990
Inpaint local size 64, image size 128. Process: [2688/30000 (2.24%)]	Loss: 0.160430
Inpaint local size 64, image size 64. Process: [2736/30000 (9.12%)]	Loss: 0.141366
Inpaint local size 64, image size 128. Process: [2736/30000 (2.28%)]	Loss: 0.138424
Inpaint local size 64, image size 64. Process: [2784/30000 (9.28%)]	Loss: 0.143796
Inpaint local size 64, image size 128. Process: [2784/30000 (2.32%)]	Loss: 0.138905
Inpaint local size 64, image size 64. Process: [2832/30000 (9.44%)]	Loss: 0.148599
Inpaint local size 64, image size 128. Process: [2832/30000 (2.36%)]	Loss: 0.158648
Inpaint local size 64, image size 64. Process: [2880/30000 (9.60%)]	Loss: 0.145487
Inpaint local size 64, image size 128. Process: [2880/30000 (2.40%)]	Loss: 0.132212
Inpaint local size 64, image size 64. Process: [2928/30000 (9.76%)]	Loss: 0.142035
Inpaint local size 64, image size 128. Process: [2928/30000 (2.44%)]	Loss: 0.156613
Inpaint local size 64, image size 64. Process: [2976/30000 (9.92%)]	Loss: 0.136794
Inpaint local size 64, image size 128. Process: [2976/30000 (2.48%)]	Loss: 0.145050
Inpaint local size 64, image size 64. Process: [3024/30000 (10.08%)]	Loss: 0.136227
Inpaint local size 64, image size 128. Process: [3024/30000 (2.52%)]	Loss: 0.141442
Inpaint local size 64, image size 64. Process: [3072/30000 (10.24%)]	Loss: 0.143158
Inpaint local size 64, image size 128. Process: [3072/30000 (2.56%)]	Loss: 0.148597
Inpaint local size 64, image size 64. Process: [3120/30000 (10.40%)]	Loss: 0.143114
Inpaint local size 64, image size 128. Process: [3120/30000 (2.60%)]	Loss: 0.146671
Inpaint local size 64, image size 64. Process: [3168/30000 (10.56%)]	Loss: 0.134224
Inpaint local size 64, image size 128. Process: [3168/30000 (2.64%)]	Loss: 0.138180
Inpaint local size 64, image size 64. Process: [3216/30000 (10.72%)]	Loss: 0.130286
Inpaint local size 64, image size 128. Process: [3216/30000 (2.68%)]	Loss: 0.145444
Inpaint local size 64, image size 64. Process: [3264/30000 (10.88%)]	Loss: 0.139456
Inpaint local size 64, image size 128. Process: [3264/30000 (2.72%)]	Loss: 0.145648
Inpaint local size 64, image size 64. Process: [3312/30000 (11.04%)]	Loss: 0.133956
Inpaint local size 64, image size 128. Process: [3312/30000 (2.76%)]	Loss: 0.133490
Inpaint local size 64, image size 64. Process: [3360/30000 (11.20%)]	Loss: 0.136175
Inpaint local size 64, image size 128. Process: [3360/30000 (2.80%)]	Loss: 0.130200
Inpaint local size 64, image size 64. Process: [3408/30000 (11.36%)]	Loss: 0.129972
Inpaint local size 64, image size 128. Process: [3408/30000 (2.84%)]	Loss: 0.148591
Inpaint local size 64, image size 64. Process: [3456/30000 (11.52%)]	Loss: 0.131719
Inpaint local size 64, image size 128. Process: [3456/30000 (2.88%)]	Loss: 0.160441
Inpaint local size 64, image size 128. Process: [3504/30000 (2.92%)]	Loss: 0.166547
Inpaint local size 64, image size 64. Process: [3504/30000 (11.68%)]	Loss: 0.133429
Inpaint local size 64, image size 64. Process: [3552/30000 (11.84%)]	Loss: 0.139774
Inpaint local size 64, image size 128. Process: [3552/30000 (2.96%)]	Loss: 0.144569
Inpaint local size 64, image size 64. Process: [3600/30000 (12.00%)]	Loss: 0.127858
Inpaint local size 64, image size 128. Process: [3600/30000 (3.00%)]	Loss: 0.137487
Inpaint local size 64, image size 128. Process: [3648/30000 (3.04%)]	Loss: 0.133482
Inpaint local size 64, image size 64. Process: [3648/30000 (12.16%)]	Loss: 0.128816
